 | Qmax: -1.3746
| Reward: -5 | Episode: 11514 | Qmax: -1.3572
| Reward: -5 | Episode: 11515 | Qmax: -1.3596
| Reward: -5 | Episode: 11516 | Qmax: -1.3705
| Reward: -5 | Episode: 11517 | Qmax: -1.3613
| Reward: -5 | Episode: 11518 | Qmax: -1.3609
| Reward: -5 | Episode: 11519 | Qmax: -1.3608
| Reward: -5 | Episode: 11520 | Qmax: -1.3601
| Reward: -5 | Episode: 11521 | Qmax: -1.3575
| Reward: -5 | Episode: 11522 | Qmax: -1.3605
| Reward: -5 | Episode: 11523 | Qmax: -1.3613
| Reward: -5 | Episode: 11524 | Qmax: -1.3650
| Reward: -5 | Episode: 11525 | Qmax: -1.3685
| Reward: -5 | Episode: 11526 | Qmax: -1.3581
| Reward: -5 | Episode: 11527 | Qmax: -1.3655
| Reward: -5 | Episode: 11528 | Qmax: -1.3621
| Reward: -5 | Episode: 11529 | Qmax: -1.3610
| Reward: -5 | Episode: 11530 | Qmax: -1.3631
| Reward: -5 | Episode: 11531 | Qmax: -1.3585
| Reward: -5 | Episode: 11532 | Qmax: -1.3625
| Reward: -5 | Episode: 11533 | Qmax: -1.3550
| Reward: -5 | Episode: 11534 | Qmax: -1.3672
| Reward: -5 | Episode: 11535 | Qmax: -1.3625
| Reward: -5 | Episode: 11536 | Qmax: -1.3597
| Reward: -5 | Episode: 11537 | Qmax: -1.3651
| Reward: -5 | Episode: 11538 | Qmax: -1.3637
| Reward: -5 | Episode: 11539 | Qmax: -1.3608
| Reward: -5 | Episode: 11540 | Qmax: -1.3712
| Reward: -5 | Episode: 11541 | Qmax: -1.3589
| Reward: -5 | Episode: 11542 | Qmax: -1.3610
| Reward: -5 | Episode: 11543 | Qmax: -1.3640
| Reward: -5 | Episode: 11544 | Qmax: -1.3614
| Reward: -5 | Episode: 11545 | Qmax: -1.3578
| Reward: -5 | Episode: 11546 | Qmax: -1.3630
| Reward: -5 | Episode: 11547 | Qmax: -1.3636
| Reward: -5 | Episode: 11548 | Qmax: -1.3646
| Reward: -5 | Episode: 11549 | Qmax: -1.3607
| Reward: -5 | Episode: 11550 | Qmax: -1.3639
| Reward: -5 | Episode: 11551 | Qmax: -1.3718
| Reward: -5 | Episode: 11552 | Qmax: -1.3652
| Reward: -5 | Episode: 11553 | Qmax: -1.3584
| Reward: -5 | Episode: 11554 | Qmax: -1.3621
| Reward: -5 | Episode: 11555 | Qmax: -1.3628
| Reward: -5 | Episode: 11556 | Qmax: -1.3602
| Reward: -5 | Episode: 11557 | Qmax: -1.3608
| Reward: -5 | Episode: 11558 | Qmax: -1.3659
| Reward: -5 | Episode: 11559 | Qmax: -1.3642
| Reward: -5 | Episode: 11560 | Qmax: -1.3573
